Age_Group,Population,AgeStart,Year,Sex,Cumulative_Population,Kx,C(x) - Kx,Smoothed C(x) - Kx,Smoothed C(x),Smoothed Population
10-14,6169357.0,10,2030,Both sexes,20358428.0,8123638.666666667,12234789.333333332,12193682.345497645,20317321.012164313,6169282.607510136
15-19,5509860.0,15,2030,Both sexes,25868288.0,12185458.0,13682830.0,13678233.690221552,25863691.69022155,5546370.678057238
20-24,4780723.5,20,2030,Both sexes,30649011.5,16247277.333333334,14401734.166666666,14502941.880276594,30750219.213609926,4886527.523388375
25-29,4263597.0,25,2030,Both sexes,34912608.5,20309096.666666668,14603511.833333332,14652362.397151876,34961459.063818544,4211239.850208618
30-34,3656055.5,30,2030,Both sexes,38568664.0,24370916.0,14197748.0,14132537.429041555,38503453.42904156,3541994.365223013
35-39,2922809.5,35,2030,Both sexes,41491473.5,28432735.333333336,13058738.166666664,12970995.870844848,41403731.204178184,2900277.7751366273
40-44,2222486.0,40,2030,Both sexes,43713959.5,32494554.666666668,11219404.833333332,11216753.324166035,43711307.9908327,2307576.786654517
45-49,1713057.0,45,2030,Both sexes,45427016.5,36556374.0,8870642.5,8940312.097314456,45496686.097314455,1785378.1064817533
50-54,1400302.5,50,2030,Both sexes,46827319.0,40618193.333333336,6209125.666666664,6233661.205304507,46851854.53863785,1355168.441323392
55-59,1101079.0,55,2030,Both sexes,47928398.0,44680012.66666667,3248385.3333333284,3210276.3698556395,47890289.036522314,1038434.4978844672
60-64,813434.0,60,2030,Both sexes,48741832.0,48741832.0,0.0,5120.01939238701,48746952.019392386,856662.9828700721
